Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
25/02/2023,06:00,Ulsan,Jeonbuk Motors,2,1
25/02/2023,08:30,Seoul,Incheon United,2,1
25/02/2023,08:30,Suwon Bluewings,Gwangju,0,1
26/02/2023,06:00,Pohang Steelers,Daegu,3,2
26/02/2023,06:00,Jeju United,Suwon,0,0
26/02/2023,08:30,Daejeon Hana Citizen,Gangwon,2,0
04/03/2023,06:00,Incheon United,Daejeon Hana Citizen,3,3
04/03/2023,06:00,Suwon,Pohang Steelers,1,2
04/03/2023,08:30,Daegu,Jeju United,1,1
05/03/2023,06:00,Jeonbuk Motors,Suwon Bluewings,1,1
05/03/2023,06:00,Gangwon,Ulsan,0,1
05/03/2023,08:30,Gwangju,Seoul,0,2
11/03/2023,06:00,Suwon,Suwon Bluewings,2,1
11/03/2023,06:00,Daejeon Hana Citizen,Pohang Steelers,0,0
11/03/2023,08:30,Gangwon,Daegu,1,1
12/03/2023,06:00,Seoul,Ulsan,1,2
12/03/2023,08:30,Jeonbuk Motors,Gwangju,2,0
12/03/2023,08:30,Incheon United,Jeju United,1,0
18/03/2023,06:00,Pohang Steelers,Gangwon,1,1
18/03/2023,06:00,Gwangju,Incheon United,5,0
18/03/2023,08:30,Jeju United,Seoul,1,2
19/03/2023,06:00,Daegu,Jeonbuk Motors,2,0
19/03/2023,06:00,Suwon Bluewings,Daejeon Hana Citizen,1,3
19/03/2023,08:30,Ulsan,Suwon,3,0
01/04/2023,07:00,Jeonbuk Motors,Pohang Steelers,1,2
01/04/2023,09:30,Incheon United,Daegu,0,0
01/04/2023,09:30,Gwangju,Suwon,2,0
01/04/2023,12:00,Daejeon Hana Citizen,Seoul,3,2
02/04/2023,07:00,Jeju United,Ulsan,1,3
02/04/2023,09:30,Suwon Bluewings,Gangwon,1,1
08/04/2023,07:00,Ulsan,Suwon Bluewings,2,1
08/04/2023,09:30,Seoul,Daegu,3,0
08/04/2023,12:00,Pohang Steelers,Gwangju,2,0
09/04/2023,08:00,Suwon,Daejeon Hana Citizen,5,3
09/04/2023,09:30,Jeonbuk Motors,Incheon United,2,0
09/04/2023,12:00,Gangwon,Jeju United,0,1
15/04/2023,07:00,Suwon Bluewings,Jeju United,2,3
15/04/2023,09:30,Pohang Steelers,Seoul,1,1
15/04/2023,12:00,Suwon,Jeonbuk Motors,1,0
16/04/2023,07:00,Gangwon,Incheon United,0,2
16/04/2023,09:30,Daejeon Hana Citizen,Ulsan,2,1
16/04/2023,12:00,Daegu,Gwangju,3,4
22/04/2023,07:00,Seoul,Suwon Bluewings,3,1
22/04/2023,09:30,Daegu,Daejeon Hana Citizen,1,0
22/04/2023,09:30,Ulsan,Pohang Steelers,2,2
22/04/2023,12:00,Incheon United,Suwon,2,2
23/04/2023,07:00,Gwangju,Gangwon,0,0
23/04/2023,09:30,Jeju United,Jeonbuk Motors,0,2
25/04/2023,12:30,Pohang Steelers,Suwon Bluewings,1,0
25/04/2023,12:30,Incheon United,Ulsan,0,1
26/04/2023,12:00,Gwangju,Jeju United,0,1
26/04/2023,12:00,Gangwon,Seoul,3,2
26/04/2023,12:30,Jeonbuk Motors,Daejeon Hana Citizen,1,2
26/04/2023,12:30,Suwon,Daegu,1,1
