Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
22/06/2024,13:00,Seoul,Suwon,3,0
23/06/2024,11:00,Incheon United,Pohang Steelers,1,3
23/06/2024,11:00,Jeju United,Ulsan,2,3
25/06/2024,12:30,Suwon,Gwangju,1,0
25/06/2024,12:30,Gimcheon Sangmu,Daejeon Hana Citizen,2,0
26/06/2024,12:30,Ulsan,Daegu,1,0
26/06/2024,12:30,Jeonbuk Motors,Pohang Steelers,1,1
26/06/2024,12:30,Seoul,Gangwon,2,0
26/06/2024,12:30,Jeju United,Incheon United,1,0
29/06/2024,11:00,Gimcheon Sangmu,Daegu,2,0
29/06/2024,12:00,Jeonbuk Motors,Seoul,1,5
29/06/2024,13:00,Daejeon Hana Citizen,Suwon,0,2
30/06/2024,11:00,Pohang Steelers,Ulsan,2,1
30/06/2024,12:00,Gwangju,Jeju United,2,1
30/06/2024,12:00,Incheon United,Gangwon,0,1
05/07/2024,12:30,Incheon United,Gimcheon Sangmu,1,1
05/07/2024,12:30,Suwon,Ulsan,1,1
06/07/2024,12:00,Jeju United,Seoul,3,2
06/07/2024,12:30,Daegu,Pohang Steelers,3,3
07/07/2024,12:00,Daejeon Hana Citizen,Jeonbuk Motors,2,2
07/07/2024,12:00,Gangwon,Gwangju,2,0
09/07/2024,12:30,Daegu,Incheon United,0,0
09/07/2024,12:30,Gimcheon Sangmu,Suwon,2,3
10/07/2024,12:30,Ulsan,Gwangju,0,1
10/07/2024,12:30,Pohang Steelers,Gangwon,2,0
10/07/2024,12:30,Jeonbuk Motors,Jeju United,2,1
10/07/2024,12:30,Seoul,Daejeon Hana Citizen,2,1
13/07/2024,12:00,Ulsan,Seoul,1,0
13/07/2024,12:30,Daejeon Hana Citizen,Gangwon,1,1
13/07/2024,12:30,Jeju United,Pohang Steelers,2,1
14/07/2024,12:00,Gwangju,Incheon United,0,2
14/07/2024,12:00,Suwon,Daegu,2,2
14/07/2024,12:00,Gimcheon Sangmu,Jeonbuk Motors,4,0
20/07/2024,12:00,Jeonbuk Motors,Ulsan,2,0
20/07/2024,12:30,Gangwon,Jeju United,4,0
21/07/2024,12:00,Incheon United,Suwon,1,4
21/07/2024,12:00,Daegu,Gwangju,0,1
21/07/2024,12:00,Seoul,Gimcheon Sangmu,1,0
21/07/2024,12:00,Daejeon Hana Citizen,Pohang Steelers,1,2
26/07/2024,12:30,Jeju United,Ulsan,1,0
