Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
05/09/2022,12:00,Seoul E-Land,Gyeongnam,2,1
05/09/2022,12:30,Anyang,Jeonnam Dragons,3,1
10/09/2022,06:30,Gimpo Citizen,Seoul E-Land,0,3
10/09/2022,09:00,Busan IPark,Gyeongnam,1,0
10/09/2022,11:30,Daejeon Hana Citizen,Chungnam Asan,1,1
11/09/2022,06:30,Jeonnam Dragons,Gwangju,2,3
11/09/2022,09:00,Bucheon 1995,Ansan Greeners,3,3
13/09/2022,12:00,Gyeongnam,Gimpo Citizen,1,0
13/09/2022,12:30,Busan IPark,Daejeon Hana Citizen,1,3
14/09/2022,12:00,Ansan Greeners,Jeonnam Dragons,1,7
14/09/2022,12:30,Anyang,Gwangju,1,2
14/09/2022,12:30,Seoul E-Land,Chungnam Asan,3,0
17/09/2022,06:30,Jeonnam Dragons,Daejeon Hana Citizen,1,1
17/09/2022,09:00,Gyeongnam,Bucheon 1995,0,3
17/09/2022,09:00,Gimpo Citizen,Busan IPark,0,0
17/09/2022,11:30,Ansan Greeners,Seoul E-Land,1,1
17/09/2022,11:30,Chungnam Asan,Anyang,0,0
21/09/2022,12:00,Anyang,Daejeon Hana Citizen,0,1
21/09/2022,12:30,Seoul E-Land,Gyeongnam,0,1
24/09/2022,09:00,Bucheon 1995,Gimpo Citizen,0,1
25/09/2022,06:30,Daejeon Hana Citizen,Gyeongnam,3,0
25/09/2022,09:00,Seoul E-Land,Anyang,3,2
26/09/2022,12:00,Jeonnam Dragons,Busan IPark,0,1
26/09/2022,12:30,Gwangju,Ansan Greeners,3,0
01/10/2022,06:30,Gimpo Citizen,Chungnam Asan,1,0
01/10/2022,09:00,Seoul E-Land,Bucheon 1995,3,0
01/10/2022,11:30,Anyang,Ansan Greeners,2,0
02/10/2022,06:30,Daejeon Hana Citizen,Gwangju,2,2
02/10/2022,09:00,Gyeongnam,Jeonnam Dragons,2,0
05/10/2022,12:00,Daejeon Hana Citizen,Jeonnam Dragons,2,1
05/10/2022,12:30,Chungnam Asan,Seoul E-Land,2,1
08/10/2022,06:30,Anyang,Bucheon 1995,1,0
08/10/2022,09:00,Jeonnam Dragons,Seoul E-Land,3,0
08/10/2022,11:30,Gimpo Citizen,Daejeon Hana Citizen,0,3
09/10/2022,06:30,Busan IPark,Chungnam Asan,4,0
09/10/2022,09:00,Gwangju,Gyeongnam,4,0
15/10/2022,08:00,Gyeongnam,Anyang,1,0
15/10/2022,08:00,Ansan Greeners,Daejeon Hana Citizen,1,2
15/10/2022,08:00,Chungnam Asan,Gwangju,0,0
15/10/2022,08:00,Seoul E-Land,Busan IPark,0,1
15/10/2022,08:00,Bucheon 1995,Jeonnam Dragons,2,2
19/10/2022,12:00,Bucheon 1995,Gyeongnam,2,3
23/10/2022,06:00,Anyang,Gyeongnam,0,0
