Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
01/03/2023,05:30,Gyeongnam,Bucheon 1995,1,0
01/03/2023,05:30,Cheonan City,Busan IPark,2,3
01/03/2023,05:30,Jeonnam Dragons,Anyang,0,1
01/03/2023,08:00,Seongnam,Ansan Greeners,2,1
01/03/2023,08:00,Chungnam Asan,Gimcheon Sangmu,1,2
01/03/2023,08:00,Seoul E-Land,Chungbuk Cheongju,2,3
04/03/2023,05:30,Bucheon 1995,Seongnam,1,0
04/03/2023,05:30,Chungbuk Cheongju,Gimcheon Sangmu,0,2
04/03/2023,08:00,Ansan Greeners,Chungnam Asan,1,0
05/03/2023,05:30,Gimpo Citizen,Cheonan City,4,0
05/03/2023,08:00,Anyang,Seoul E-Land,1,1
05/03/2023,08:00,Jeonnam Dragons,Gyeongnam,0,5
11/03/2023,05:30,Seoul E-Land,Jeonnam Dragons,0,1
11/03/2023,08:00,Gimpo Citizen,Gyeongnam,0,0
11/03/2023,08:00,Chungbuk Cheongju,Busan IPark,1,1
12/03/2023,05:30,Seongnam,Chungnam Asan,0,0
12/03/2023,05:30,Ansan Greeners,Anyang,1,1
12/03/2023,08:00,Cheonan City,Bucheon 1995,0,3
18/03/2023,05:30,Chungnam Asan,Cheonan City,1,0
18/03/2023,08:00,Gyeongnam,Chungbuk Cheongju,2,2
18/03/2023,08:00,Bucheon 1995,Ansan Greeners,1,0
19/03/2023,05:30,Busan IPark,Gimcheon Sangmu,3,1
19/03/2023,08:00,Anyang,Seongnam,2,1
19/03/2023,08:00,Jeonnam Dragons,Gimpo Citizen,0,2
01/04/2023,06:30,Anyang,Chungnam Asan,3,0
01/04/2023,09:00,Seongnam,Chungbuk Cheongju,3,2
01/04/2023,11:30,Gimpo Citizen,Bucheon 1995,1,1
02/04/2023,06:30,Gimcheon Sangmu,Gyeongnam,0,2
02/04/2023,09:00,Busan IPark,Seoul E-Land,1,0
02/04/2023,11:30,Cheonan City,Jeonnam Dragons,1,3
08/04/2023,06:30,Cheonan City,Gimcheon Sangmu,0,2
08/04/2023,09:00,Bucheon 1995,Anyang,2,4
08/04/2023,11:30,Jeonnam Dragons,Seongnam,2,2
09/04/2023,06:30,Chungbuk Cheongju,Gimpo Citizen,0,0
09/04/2023,09:00,Seoul E-Land,Ansan Greeners,4,1
09/04/2023,11:30,Chungnam Asan,Busan IPark,1,1
15/04/2023,06:30,Jeonnam Dragons,Chungbuk Cheongju,3,0
15/04/2023,09:00,Gimcheon Sangmu,Bucheon 1995,4,1
15/04/2023,09:00,Chungnam Asan,Seoul E-Land,2,0
15/04/2023,11:30,Busan IPark,Gyeongnam,0,0
16/04/2023,06:30,Seongnam,Cheonan City,2,0
16/04/2023,09:00,Ansan Greeners,Gimpo Citizen,2,3
18/04/2023,12:00,Bucheon 1995,Seoul E-Land,0,1
18/04/2023,12:00,Chungbuk Cheongju,Chungnam Asan,0,4
18/04/2023,12:30,Gyeongnam,Anyang,3,2
19/04/2023,12:00,Gimpo Citizen,Busan IPark,1,0
19/04/2023,12:30,Gimcheon Sangmu,Jeonnam Dragons,2,1
19/04/2023,12:30,Cheonan City,Ansan Greeners,1,1
22/04/2023,06:30,Anyang,Gimpo Citizen,1,2
22/04/2023,09:00,Seongnam,Busan IPark,1,3
22/04/2023,11:30,Seoul E-Land,Gimcheon Sangmu,0,1
23/04/2023,06:30,Chungnam Asan,Gyeongnam,2,2
23/04/2023,09:00,Chungbuk Cheongju,Bucheon 1995,0,4
23/04/2023,11:30,Ansan Greeners,Jeonnam Dragons,1,0
