Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
18/06/2022,11:00,Jeju United,Incheon United,2,1
18/06/2022,12:30,Seongnam,Daegu,1,1
19/06/2022,11:00,Ulsan,Jeonbuk Motors,1,3
19/06/2022,12:30,Suwon Bluewings,Seoul,0,1
21/06/2022,12:00,Gimcheon Sangmu,Seongnam,1,1
21/06/2022,12:30,Daegu,Jeju United,1,0
21/06/2022,12:30,Suwon,Pohang Steelers,2,1
22/06/2022,12:00,Jeonbuk Motors,Suwon Bluewings,2,1
22/06/2022,12:30,Seoul,Ulsan,1,2
22/06/2022,12:30,Incheon United,Gangwon,4,1
25/06/2022,11:00,Jeonbuk Motors,Daegu,1,1
25/06/2022,12:00,Suwon,Suwon Bluewings,3,0
25/06/2022,13:00,Seoul,Incheon United,1,1
26/06/2022,11:00,Ulsan,Seongnam,0,0
26/06/2022,12:00,Pohang Steelers,Gimcheon Sangmu,1,1
26/06/2022,12:30,Gangwon,Jeju United,4,2
02/07/2022,11:00,Jeju United,Seoul,2,2
02/07/2022,12:00,Pohang Steelers,Ulsan,2,0
02/07/2022,12:00,Gimcheon Sangmu,Jeonbuk Motors,1,2
02/07/2022,13:00,Seongnam,Gangwon,0,2
03/07/2022,12:00,Daegu,Suwon,0,0
03/07/2022,12:30,Suwon Bluewings,Incheon United,0,0
05/07/2022,12:00,Seongnam,Pohang Steelers,1,4
05/07/2022,12:00,Gimcheon Sangmu,Jeju United,4,0
05/07/2022,12:30,Ulsan,Gangwon,2,1
06/07/2022,12:00,Suwon Bluewings,Daegu,1,1
06/07/2022,12:00,Incheon United,Suwon,0,1
06/07/2022,12:30,Seoul,Jeonbuk Motors,0,1
08/07/2022,12:30,Jeju United,Seongnam,3,2
08/07/2022,12:30,Gangwon,Gimcheon Sangmu,3,2
09/07/2022,12:00,Jeonbuk Motors,Incheon United,2,2
09/07/2022,13:00,Daegu,Ulsan,1,1
10/07/2022,12:00,Suwon,Seoul,4,3
10/07/2022,12:00,Pohang Steelers,Suwon Bluewings,1,0
16/07/2022,11:00,Jeonbuk Motors,Seongnam,3,2
16/07/2022,11:00,Ulsan,Suwon Bluewings,2,1
16/07/2022,11:00,Gimcheon Sangmu,Incheon United,0,1
16/07/2022,12:00,Suwon,Gangwon,2,4
16/07/2022,13:00,Seoul,Daegu,2,1
16/07/2022,13:00,Pohang Steelers,Jeju United,1,1
30/07/2022,12:00,Jeonbuk Motors,Jeju United,1,0
30/07/2022,12:00,Ulsan,Gangwon,2,1
30/07/2022,12:00,Suwon Bluewings,Gimcheon Sangmu,0,0
30/07/2022,12:30,Pohang Steelers,Seoul,1,2
30/07/2022,13:00,Seongnam,Incheon United,3,1
31/07/2022,12:30,Suwon,Daegu,2,2
02/08/2022,12:00,Gimcheon Sangmu,Pohang Steelers,0,1
02/08/2022,12:30,Jeju United,Seongnam,1,2
02/08/2022,13:00,Ulsan,Seoul,1,1
03/08/2022,12:00,Incheon United,Suwon,1,1
03/08/2022,12:30,Daegu,Suwon Bluewings,1,2
03/08/2022,12:30,Gangwon,Jeonbuk Motors,2,1
05/08/2022,12:00,Seongnam,Gimcheon Sangmu,1,4
05/08/2022,12:30,Seoul,Jeju United,0,2
06/08/2022,12:00,Pohang Steelers,Gangwon,2,1
06/08/2022,12:30,Suwon,Suwon Bluewings,4,2
07/08/2022,12:00,Jeonbuk Motors,Ulsan,1,1
07/08/2022,12:30,Daegu,Incheon United,2,3
10/08/2022,12:00,Suwon,Jeonbuk Motors,0,1
10/08/2022,12:30,Gangwon,Daegu,1,0
13/08/2022,11:00,Ulsan,Daegu,4,0
13/08/2022,12:30,Incheon United,Jeonbuk Motors,3,1
14/08/2022,12:00,Jeju United,Pohang Steelers,5,0
14/08/2022,12:30,Suwon Bluewings,Seongnam,4,1
15/08/2022,11:00,Gangwon,Suwon,2,3
15/08/2022,12:00,Gimcheon Sangmu,Seoul,1,2
20/08/2022,11:00,Pohang Steelers,Incheon United,1,1
20/08/2022,13:00,Jeju United,Suwon Bluewings,1,2
21/08/2022,11:00,Seoul,Seongnam,2,0
21/08/2022,12:00,Gimcheon Sangmu,Ulsan,1,2
27/08/2022,11:00,Suwon Bluewings,Gangwon,2,3
27/08/2022,12:00,Jeju United,Ulsan,1,1
27/08/2022,13:00,Incheon United,Seoul,2,0
28/08/2022,12:00,Daegu,Gimcheon Sangmu,0,0
28/08/2022,12:00,Seongnam,Suwon,2,1
29/08/2022,12:00,Jeonbuk Motors,Pohang Steelers,2,2
02/09/2022,12:00,Suwon,Jeju United,2,2
02/09/2022,12:30,Incheon United,Gangwon,0,1
03/09/2022,09:30,Pohang Steelers,Daegu,4,1
03/09/2022,12:00,Gimcheon Sangmu,Jeonbuk Motors,2,2
04/09/2022,09:30,Seoul,Suwon Bluewings,1,3
04/09/2022,12:00,Seongnam,Ulsan,3,0
06/09/2022,12:00,Jeju United,Incheon United,0,1
06/09/2022,12:30,Gangwon,Gimcheon Sangmu,0,1
06/09/2022,12:30,Suwon,Pohang Steelers,1,0
07/09/2022,12:00,Jeonbuk Motors,Seoul,0,0
07/09/2022,12:30,Ulsan,Suwon Bluewings,1,0
07/09/2022,12:30,Daegu,Seongnam,1,0
10/09/2022,07:00,Daegu,Jeonbuk Motors,0,5
10/09/2022,07:00,Gimcheon Sangmu,Jeju United,1,2
10/09/2022,09:30,Seongnam,Gangwon,0,4
10/09/2022,12:00,Seoul,Suwon,2,2
11/09/2022,09:30,Ulsan,Pohang Steelers,1,2
11/09/2022,12:00,Suwon Bluewings,Incheon United,3,3
13/09/2022,12:00,Suwon,Gimcheon Sangmu,2,1
13/09/2022,12:30,Jeju United,Daegu,2,2
13/09/2022,12:30,Seoul,Gangwon,1,0
14/09/2022,12:00,Jeonbuk Motors,Seongnam,1,0
14/09/2022,12:00,Incheon United,Ulsan,0,0
14/09/2022,12:30,Suwon Bluewings,Pohang Steelers,0,2
18/09/2022,08:00,Ulsan,Suwon,2,0
18/09/2022,08:00,Daegu,Seoul,3,0
18/09/2022,08:00,Suwon Bluewings,Jeonbuk Motors,2,3
18/09/2022,08:00,Seongnam,Pohang Steelers,1,1
18/09/2022,08:00,Gangwon,Jeju United,2,1
18/09/2022,08:00,Gimcheon Sangmu,Incheon United,1,0
01/10/2022,07:00,Seoul,Daegu,2,3
01/10/2022,09:30,Incheon United,Ulsan,0,3
01/10/2022,12:00,Jeonbuk Motors,Pohang Steelers,3,1
02/10/2022,07:00,Jeju United,Gangwon,1,2
02/10/2022,09:30,Suwon,Gimcheon Sangmu,2,2
03/10/2022,07:00,Seongnam,Suwon Bluewings,0,2
08/10/2022,07:00,Pohang Steelers,Jeju United,1,2
08/10/2022,09:30,Ulsan,Jeonbuk Motors,2,1
08/10/2022,12:00,Gangwon,Incheon United,0,0
09/10/2022,07:00,Suwon Bluewings,Seoul,0,0
09/10/2022,09:30,Gimcheon Sangmu,Seongnam,1,1
09/10/2022,12:00,Daegu,Suwon,2,1
11/10/2022,08:00,Pohang Steelers,Ulsan,1,1
11/10/2022,12:30,Jeonbuk Motors,Gangwon,1,0
11/10/2022,12:30,Incheon United,Jeju United,3,1
12/10/2022,12:30,Suwon Bluewings,Daegu,1,2
12/10/2022,12:30,Seoul,Gimcheon Sangmu,1,1
12/10/2022,12:30,Suwon,Seongnam,2,1
16/10/2022,07:00,Gangwon,Ulsan,1,2
16/10/2022,07:00,Suwon Bluewings,Suwon,3,0
16/10/2022,09:30,Jeju United,Jeonbuk Motors,1,2
16/10/2022,09:30,Daegu,Gimcheon Sangmu,1,1
16/10/2022,12:00,Incheon United,Pohang Steelers,1,1
16/10/2022,12:00,Seoul,Seongnam,0,1
22/10/2022,08:00,Suwon,Seoul,0,2
22/10/2022,08:00,Gimcheon Sangmu,Suwon Bluewings,1,3
22/10/2022,08:00,Seongnam,Daegu,4,4
23/10/2022,08:00,Ulsan,Jeju United,1,2
23/10/2022,08:00,Jeonbuk Motors,Incheon United,2,1
23/10/2022,08:00,Pohang Steelers,Gangwon,1,0
