Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
19/02/2022,06:00,Jeonbuk Motors,Suwon,1,0
19/02/2022,08:30,Daegu,Seoul,0,2
19/02/2022,08:30,Incheon United,Suwon Bluewings,1,0
20/02/2022,06:00,Jeju United,Pohang Steelers,0,3
20/02/2022,06:00,Gangwon,Seongnam,2,0
20/02/2022,08:30,Ulsan,Gimcheon Sangmu,0,0
26/02/2022,06:00,Suwon Bluewings,Suwon,1,0
26/02/2022,06:00,Incheon United,Seoul,1,1
26/02/2022,08:30,Jeju United,Gangwon,0,0
26/02/2022,08:30,Seongnam,Ulsan,0,2
27/02/2022,06:00,Gimcheon Sangmu,Pohang Steelers,3,2
27/02/2022,08:30,Daegu,Jeonbuk Motors,1,1
01/03/2022,06:00,Ulsan,Suwon,2,1
01/03/2022,06:00,Suwon Bluewings,Jeju United,0,1
01/03/2022,08:30,Seongnam,Seoul,0,0
01/03/2022,08:30,Gangwon,Incheon United,0,1
02/03/2022,11:00,Jeonbuk Motors,Pohang Steelers,0,1
02/03/2022,11:30,Daegu,Gimcheon Sangmu,1,0
05/03/2022,06:00,Seongnam,Suwon Bluewings,2,2
05/03/2022,08:30,Gangwon,Daegu,2,0
05/03/2022,11:00,Incheon United,Pohang Steelers,0,1
06/03/2022,06:00,Gimcheon Sangmu,Seoul,2,0
06/03/2022,08:30,Jeonbuk Motors,Ulsan,0,1
06/03/2022,08:30,Jeju United,Suwon,0,0
11/03/2022,11:00,Ulsan,Seoul,2,1
11/03/2022,11:00,Daegu,Seongnam,3,1
12/03/2022,06:00,Jeju United,Jeonbuk Motors,2,0
12/03/2022,08:30,Suwon Bluewings,Pohang Steelers,1,1
13/03/2022,06:00,Incheon United,Gimcheon Sangmu,1,0
13/03/2022,08:30,Gangwon,Suwon,0,2
19/03/2022,06:00,Suwon Bluewings,Gangwon,2,2
19/03/2022,08:30,Seoul,Jeju United,1,2
19/03/2022,11:00,Jeonbuk Motors,Gimcheon Sangmu,1,1
20/03/2022,06:00,Suwon,Daegu,4,3
20/03/2022,11:00,Seongnam,Incheon United,0,1
27/03/2022,07:00,Ulsan,Pohang Steelers,2,0
02/04/2022,07:00,Jeju United,Daegu,0,0
02/04/2022,07:00,Incheon United,Ulsan,1,1
02/04/2022,09:30,Gimcheon Sangmu,Suwon Bluewings,1,1
02/04/2022,12:00,Gangwon,Jeonbuk Motors,1,2
03/04/2022,07:00,Suwon,Seongnam,3,4
03/04/2022,09:30,Pohang Steelers,Seoul,1,1
05/04/2022,12:00,Suwon Bluewings,Jeonbuk Motors,0,1
05/04/2022,12:30,Daegu,Incheon United,1,2
05/04/2022,12:30,Jeju United,Ulsan,1,2
06/04/2022,12:00,Seongnam,Gimcheon Sangmu,0,3
06/04/2022,12:30,Seoul,Gangwon,2,2
06/04/2022,12:30,Pohang Steelers,Suwon,2,0
09/04/2022,07:00,Seongnam,Jeonbuk Motors,0,4
09/04/2022,09:30,Ulsan,Daegu,3,1
10/04/2022,07:00,Gangwon,Pohang Steelers,1,1
10/04/2022,08:00,Suwon,Gimcheon Sangmu,3,2
10/04/2022,09:30,Incheon United,Jeju United,2,2
10/04/2022,12:00,Seoul,Suwon Bluewings,2,0
05/05/2022,07:00,Jeonbuk Motors,Seoul,1,1
05/05/2022,07:00,Seongnam,Jeju United,1,2
05/05/2022,09:30,Suwon Bluewings,Ulsan,1,0
05/05/2022,09:30,Pohang Steelers,Daegu,1,1
05/05/2022,12:00,Suwon,Incheon United,2,2
05/05/2022,12:00,Gimcheon Sangmu,Gangwon,1,0
08/05/2022,06:30,Gangwon,Ulsan,1,3
08/05/2022,07:00,Daegu,Suwon Bluewings,3,0
08/05/2022,09:30,Seoul,Suwon,3,1
08/05/2022,09:30,Incheon United,Jeonbuk Motors,0,1
08/05/2022,12:00,Jeju United,Gimcheon Sangmu,3,1
08/05/2022,12:00,Pohang Steelers,Seongnam,1,0
14/05/2022,09:30,Gimcheon Sangmu,Daegu,1,1
14/05/2022,12:00,Ulsan,Incheon United,2,2
14/05/2022,12:00,Suwon Bluewings,Seongnam,1,0
15/05/2022,07:20,Suwon,Jeju United,1,3
15/05/2022,09:30,Jeonbuk Motors,Gangwon,1,1
15/05/2022,12:00,Seoul,Pohang Steelers,1,0
17/05/2022,12:00,Suwon Bluewings,Gimcheon Sangmu,2,1
17/05/2022,12:30,Incheon United,Daegu,2,2
18/05/2022,12:00,Ulsan,Jeju United,1,0
18/05/2022,12:00,Pohang Steelers,Jeonbuk Motors,0,1
18/05/2022,12:30,Seongnam,Suwon,2,2
18/05/2022,12:30,Gangwon,Seoul,1,0
21/05/2022,09:30,Seoul,Seongnam,0,1
21/05/2022,11:00,Pohang Steelers,Incheon United,2,0
21/05/2022,12:00,Gimcheon Sangmu,Ulsan,0,2
22/05/2022,09:30,Daegu,Gangwon,3,0
22/05/2022,09:30,Jeju United,Suwon Bluewings,0,0
22/05/2022,12:00,Suwon,Jeonbuk Motors,0,1
28/05/2022,09:30,Seoul,Gimcheon Sangmu,2,2
28/05/2022,12:00,Jeonbuk Motors,Jeju United,0,2
28/05/2022,12:00,Suwon,Ulsan,1,2
29/05/2022,09:30,Incheon United,Seongnam,1,0
29/05/2022,12:00,Daegu,Pohang Steelers,2,2
29/05/2022,12:00,Gangwon,Suwon Bluewings,1,1
17/06/2022,12:00,Gimcheon Sangmu,Suwon,0,1
17/06/2022,12:30,Pohang Steelers,Gangwon,3,1
