Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
01/03/2024,06:00,Ansan Greeners,Gyeongnam,1,2
01/03/2024,06:00,Anyang,Seongnam,2,0
02/03/2024,06:00,Bucheon 1995,Cheonan City,1,3
02/03/2024,08:30,Chungbuk Cheongju,Jeonnam Dragons,1,0
03/03/2024,06:00,Suwon Bluewings,Chungnam Asan,2,1
03/03/2024,08:30,Busan IPark,Seoul E-Land,0,3
09/03/2024,06:00,Gyeongnam,Busan IPark,1,4
09/03/2024,08:30,Jeonnam Dragons,Gimpo Citizen,4,0
09/03/2024,08:30,Chungnam Asan,Bucheon 1995,1,1
10/03/2024,06:00,Seoul E-Land,Suwon Bluewings,2,1
10/03/2024,06:00,Cheonan City,Chungbuk Cheongju,1,2
10/03/2024,08:30,Seongnam,Ansan Greeners,1,3
16/03/2024,06:00,Cheonan City,Seongnam,0,0
16/03/2024,08:30,Gyeongnam,Chungnam Asan,1,2
16/03/2024,08:30,Bucheon 1995,Seoul E-Land,1,0
17/03/2024,06:00,Busan IPark,Gimpo Citizen,0,1
17/03/2024,06:00,Chungbuk Cheongju,Anyang,1,1
17/03/2024,08:30,Ansan Greeners,Suwon Bluewings,0,1
30/03/2024,06:00,Chungnam Asan,Chungbuk Cheongju,4,1
30/03/2024,08:30,Seongnam,Gimpo Citizen,2,1
30/03/2024,08:30,Seoul E-Land,Anyang,1,2
31/03/2024,07:00,Bucheon 1995,Gyeongnam,2,0
31/03/2024,07:00,Jeonnam Dragons,Cheonan City,1,0
31/03/2024,09:30,Suwon Bluewings,Busan IPark,0,1
06/04/2024,07:00,Anyang,Ansan Greeners,1,0
06/04/2024,09:30,Chungnam Asan,Seongnam,1,1
06/04/2024,09:30,Seoul E-Land,Gimpo Citizen,1,1
07/04/2024,07:00,Busan IPark,Jeonnam Dragons,0,1
07/04/2024,07:00,Cheonan City,Gyeongnam,2,2
07/04/2024,09:30,Chungbuk Cheongju,Suwon Bluewings,0,1
10/04/2024,07:00,Suwon Bluewings,Jeonnam Dragons,5,1
