Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
15/02/2025,05:00,Pohang Steelers,Daejeon Hana Citizen,0,3
15/02/2025,07:30,Jeju United,Seoul,2,0
15/02/2025,08:30,Gwangju,Suwon,0,0
16/02/2025,06:00,Ulsan,Anyang,0,1
16/02/2025,08:30,Jeonbuk Motors,Gimcheon Sangmu,2,1
16/02/2025,08:30,Daegu,Gangwon,2,1
22/02/2025,06:00,Jeju United,Gimcheon Sangmu,2,3
22/02/2025,08:30,Seoul,Anyang,2,1
22/02/2025,08:30,Daegu,Suwon,3,1
23/02/2025,06:00,Daejeon Hana Citizen,Ulsan,0,2
23/02/2025,08:30,Jeonbuk Motors,Gwangju,2,2
23/02/2025,08:30,Gangwon,Pohang Steelers,2,1
01/03/2025,06:00,Ulsan,Jeonbuk Motors,1,0
01/03/2025,08:30,Pohang Steelers,Daegu,0,0
01/03/2025,08:30,Gwangju,Anyang,2,1
02/03/2025,06:00,Daejeon Hana Citizen,Suwon,1,0
02/03/2025,08:30,Gangwon,Jeju United,0,0
03/03/2025,06:00,Seoul,Gimcheon Sangmu,0,0
08/03/2025,06:00,Suwon,Seoul,0,0
08/03/2025,08:30,Daegu,Daejeon Hana Citizen,1,2
08/03/2025,08:30,Anyang,Gimcheon Sangmu,1,3
09/03/2025,06:00,Ulsan,Jeju United,2,0
09/03/2025,08:30,Jeonbuk Motors,Gangwon,0,1
15/03/2025,06:00,Jeju United,Daejeon Hana Citizen,1,3
15/03/2025,08:30,Gangwon,Seoul,0,1
15/03/2025,08:30,Daegu,Anyang,0,1
16/03/2025,06:00,Suwon,Ulsan,1,1
16/03/2025,08:30,Gimcheon Sangmu,Gwangju,0,0
16/03/2025,08:30,Jeonbuk Motors,Pohang Steelers,2,2
22/03/2025,08:30,Gwangju,Pohang Steelers,2,3
29/03/2025,06:00,Seoul,Daegu,3,2
29/03/2025,08:30,Pohang Steelers,Ulsan,1,0
29/03/2025,08:30,Daejeon Hana Citizen,Gwangju,1,1
30/03/2025,07:00,Jeju United,Suwon,1,0
30/03/2025,09:30,Gimcheon Sangmu,Gangwon,1,0
30/03/2025,09:30,Anyang,Jeonbuk Motors,0,1
01/04/2025,12:30,Ulsan,Daejeon Hana Citizen,2,3
05/04/2025,07:00,Ulsan,Seoul,0,0
05/04/2025,09:30,Gimcheon Sangmu,Daegu,2,0
05/04/2025,09:30,Daejeon Hana Citizen,Jeonbuk Motors,0,2
05/04/2025,12:00,Suwon,Pohang Steelers,1,1
06/04/2025,09:30,Anyang,Gangwon,2,0
06/04/2025,09:30,Gwangju,Jeju United,1,0
09/04/2025,12:30,Gwangju,Daegu,2,1
12/04/2025,07:00,Suwon,Gimcheon Sangmu,3,2
12/04/2025,09:30,Seoul,Daejeon Hana Citizen,2,2
12/04/2025,09:30,Pohang Steelers,Anyang,2,1
13/04/2025,07:00,Gangwon,Gwangju,1,0
13/04/2025,09:30,Jeonbuk Motors,Jeju United,1,1
